id	name	formula	inchi	solubility	vendor	vendor_id	hmdb_id	chebi_id	lipidmaps_id	cas_id	pubchem_id	lot_num	location	purchase_date	Average Molecular weight (g/mol)	Exact mass	m/z_Neg mode	m/z_Pos Mode	Adducts Na	Adducts NH4	Class	Retention time	Date of Prep	Protocol ID	Comments	Sample weight for stock (mg) 
346	(2-AMINOETHYL)PHOSPHONATE	C2H8NO3P		Methano/water	IROA	MSMLS_2B8					339															
347	SELENOMETHIONINE	C5H11NO2Se		Methano/water	IROA	MSMLS_2B9					105024															
351	PARAXANTHINE	C7H8N4O2		Methano/water	IROA	MSMLS_2C1					4687															
360	CAFFEINE	C8H10N4O2		Methano/water	IROA	MSMLS_2C10					2519															
361	ACETALDEHYDE	C2H4O		Methano/water	IROA	MSMLS_2C11					177															
362	D-GLUCURONIC ACID	C6H10O7		Methano/water	IROA	MSMLS_2C12					94715															
352	ADENOSINE 5'-DIPHOSPHATE	C10H15N5O10P2		Methano/water	IROA	MSMLS_2C2					6022															
353	2-DEOXY-D-GLUCOSE	C6H12O5		Methano/water	IROA	MSMLS_2C3					439268															
354	N(PAI)-METHYL-L-HISTIDINE	C7H11N3O2		Methano/water	IROA	MSMLS_2C4					64969															
355	GALACTITOL	C6H14O6		Methano/water	IROA	MSMLS_2C5					11850															
356	5-OXO-D-PROLINE	C5H7NO3		Methano/water	IROA	MSMLS_2C6					439685															
357	4-PYRIDOXATE	C8H9NO4		Methano/water	IROA	MSMLS_2C7					6723															
358	PYRIDINE-2,3-DICARBOXYLATE	C7H5NO4		Methano/water	IROA	MSMLS_2C8					1066															
359	METHYLGUANIDINE	C2H7N3		Methano/water	IROA	MSMLS_2C9					10111															
363	1-METHYLADENOSINE	C11H15N5O4		Methano/water	IROA	MSMLS_2D1					27476															
372	DOPAMINE	C8H11NO2		Methano/water	IROA	MSMLS_2D10					681															
373	PUTRESCINE	C4H12N2		Methano/water	IROA	MSMLS_2D11					1045															
374	L-LYSINE	C6H14N2O2		Methano/water	IROA	MSMLS_2D12					5962															
364	DEOXYURIDINE	C9H12N2O5		Methano/water	IROA	MSMLS_2D2					13712															
365	TRANS-4-HYDROXYPROLINE	C5H9NO3		Methano/water	IROA	MSMLS_2D3					5810															
366	UROCANATE	C6H6N2O2		Methano/water	IROA	MSMLS_2D4					736715															
367	KYNURENINE	C10H12N2O3		Methano/water	IROA	MSMLS_2D5					846															
368	5-OXO-L-PROLINE	C5H7NO3		Methano/water	IROA	MSMLS_2D6					7405															
369	4-ACETAMIDOBUTANOATE	C6H11NO3		Methano/water	IROA	MSMLS_2D7					18189															
370	TRANS-CYCLOHEXANE-1,2-DIOL	C6H12O2		Methano/water	IROA	MSMLS_2D8					92886															
